商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14)
300684,中石科技,5724072671,1069,电子科技,SZSE,电子生产设备,0.01102129,27.95350095,15.69987074,3.43420052,48.51996913
300501,海顺新材,2636474945,569,加工制造业,SZSE,容器/包装,0.47144637,21.54780096,15.56700218,3.26836894,48.53702453
600137,浪莎股份,1381461854,324,加工制造业,SSE,纸浆&纸,0.10291691,74.2650851,3.6707225,2.73353708,48.53744706
000952,广济药业,2609846879,1302,健康科技,SZSE,仿制药,0.26116707,26.12369044,7.55706536,1.9332443,48.53989313
600792,云煤能源,3840903619,2161,加工制造业,SSE,特种工业品,0.35452423,34.67520586,3.1700543,1.0981083,48.54370995
200539,粤电力Ｂ,18490241559.42902,6794,公用事业,SZSE,发电厂,1.09289869,6.59550956,6.1419327,0.38114711,48.5527701
603869,新智认知,4574467568,588,科技服务,SSE,套装软件,0.39099678,29.97002997,3.82288313,1.1303366,48.58663352
300870,欧陆通,5944487991,4372,制造业,SZSE,电子设备,0.23776434,30.90477583,19.77634883,4.13230666,48.58964435
600726,华电能源,3925143989.7873,9682,公用事业,SSE,发电厂,21.71969274,,-102.20777402,7.4768186,48.59510558
600733,北汽蓝谷,51447720703,5346,制造业,SSE,电子设备,2.26847003,,-51.09898673,3.87083565,48.59621917
600654,ST中安,2296607534,12153,商业服务,SSE,杂项商业服务,68.64218728,,-131.30095451,25.21474093,48.61458599
600821,金开新能,7866144824,253,零售行业,SSE,专业商店,2.95870507,337.08609272,5.23996926,1.96772011,48.6171768
300903,科翔股份,6354090530,2629,电子科技,SZSE,电子元器件,0.4409651,,12.44960861,5.40144224,48.62179212
300164,通源石油,2005234857,,工业服务,SZSE,油田服务/设备,0.4450149,,-69.61852888,2.16608119,48.62742615
603037,凯众股份,1659539355,561,制造业,SSE,汽车零件：OEM,0.0025897,17.04015975,10.87090552,1.85447222,48.64761934
300715,凯伦股份,9184176271,1316,加工制造业,SZSE,特种工业品,1.17584266,24.69692416,24.72388048,5.67411476,48.65878766
300121,阳谷华泰,4498293990,1698,制造业,SZSE,杂项制造,0.21943018,21.36676673,12.70951571,2.69623463,48.67049492
300146,汤臣倍健,49444977326,3374,健康科技,SZSE,药品：其他,0.0455475,25.05254028,27.73593102,6.52378662,48.67194706
603638,艾迪精密,35135066193,2345,制造业,SSE,卡车/建筑/农业机械,0.27400463,55.28324494,26.43474057,14.13800273,48.67602178
300966,共同药业,6113139192,,健康科技,SZSE,生物科技,0.3345531,,,,48.68764602
300720,海川智能,2363903896,511,制造业,SZSE,工业机械,0,29.57815167,15.46530291,4.43742066,48.68808756
603496,恒为科技,3014357178,550,商业服务,SSE,杂项商业服务,0.24327593,73.09002433,5.21584232,3.70100238,48.68850161
300355,蒙草生态,6497180177,936,商业服务,SZSE,杂项商业服务,1.16682888,25.17006803,5.48868083,1.6215204,48.71585818
300234,开尔新材,4122516630,675,制造业,SZSE,杂项制造,0.08324435,270.98765432,1.75181485,4.61388896,48.73785281
300551,古鳌科技,5104882475,632,电子科技,SZSE,电子设备/仪器,0.02243346,259.16540984,3.40245222,8.4318826,48.74502525
000810,创维数字,8841514998,6658,电子科技,SZSE,电信设备,0.63205317,19.29703653,11.4342059,2.19074618,48.74673066
600889,南京化纤,2143124292,1356,加工制造业,SSE,纺织品,0.05025443,12.89245157,11.47399645,1.51436291,48.76483839
000997,新 大 陆,15456704414,6570,电子科技,SZSE,计算机处理硬件,0.19046716,34.55650608,7.6426037,2.5380333,48.78338559
603113,金能科技,14676585228,2920,加工制造业,SSE,化学品：特种,0.20389024,14.13008049,15.35944839,1.81462043,48.78710936
603987,康德莱,9414250950,5040,健康科技,SSE,医学专业,0.23274439,44.68171446,12.57843657,5.50839146,48.80444186
000882,华联股份,4927233561,1192,零售行业,SZSE,百货公司,0.68945875,36.4,1.79800584,0.62011067,48.80595241
300793,佳禾智能,4205669697.000001,8107,耐用消费品,SZSE,电子/电器,0.28633729,73.97260274,5.04399116,3.66229044,48.8210197
002261,拓维信息,8663034950,3932,科技服务,SZSE,互联网软件/服务,0.20416513,119.75683891,2.84566818,3.43168209,48.87318938
688081,兴图新科,2028415919,518,科技服务,SSE,套装软件,0.0051297,77.72208299,3.74413255,2.81518242,48.87500271
600199,金种子酒,9307824667,2902,加工制造业,SSE,农副产品,0.02084345,197.05882353,1.66364919,3.19789444,48.87985589
002128,露天煤业,19830637792,7507,能源矿产,SZSE,煤炭,0.43470985,9.11670481,11.64707739,1.08801566,48.89803393
600216,浙江医药,14748244656,5835,健康科技,SSE,药品:专业,0.1210083,18.01192387,10.47589467,1.96166328,48.90373276
002173,创新医疗,3111762048,3251,配送服务,SZSE,批发分销商,0.05329746,,-13.35968494,1.47697322,48.9063391
300268,佳沃食品,2435315878,3392,非耐用消费品,SZSE,饮料:酒精饮料,-80.73886889,,,,48.94016359
688055,龙腾光电,25133334433,3237,电子科技,SSE,计算机外围设备,0.15259181,,7.60973896,6.58233695,48.94397928
