商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
CLGN,COLLPLANT BIOTECHNOLOGIES LTD SPON ADS EACH REP 1 ORD SHS,105850000.0,52.0,健康科技,NASDAQ,医学专业,0.75675676,,-135.77342952,23.64286825,75,58,288
MGMLF,MAPLE GOLD MINES LTD.,105599265.2,,非能源矿业,OTC,贵金属,0.02465777,,-47.55726616,6.68384059,94,20,584
MEEC,MIDWEST ENERGY EMISSIONS CORP.,105577290.0,11.0,制造业,OTC,工业机械,-1.31294295,,,,82,37,858
AXR,AMREP CORP,105456528.0,16.0,金融,NYSE,房地产开发,0.06234489,,-0.45119446,1.38371863,68,22,248
PGZ,PRINCIPAL REAL ESTATE INCOME FD,105398000.0,,其他,NYSE,投资信托/互惠基金,0.40167609,,,,36,76,71
CPSS,CONSUMER PORTFOLIO SERVICES,104955155.0,787.0,金融,NASDAQ,金融/租赁,13.84780866,6.98345225,12.34498569,0.7842696,87,9,90
USWS,US WELL SERVICES INC,104479344.0,638.0,金融,NASDAQ,金融集团,-8.05790177,,-314.35357248,,-1,-1,-1
RELL,RICHARDSON ELECTRONICS,104373940.0,394.0,电子科技,NASDAQ,电子生产设备,0.02398294,,-1.25576947,0.86488229,55,1,127
RSF,RIVERNORTH SPECIALTY FINANCE CORP,103313000.0,,其他,NYSE,投资信托/互惠基金,0.40147334,,-7.70105972,1.08329259,-1,-1,-1
SMM,SALIENT MIDSTREAM & MLP FD,100309000.0,,其他,NYSE,投资信托/互惠基金,0.28974384,,-46.50710821,0.67460459,44,6,75
MIE,COHEN & STEERS MLP & ENGY OPP,98888700.0,,其他,NYSE,投资信托/互惠基金,0.24755646,,-80.28847272,1.39889048,36,24,170
FBTT,"FIRST BANKERS TRUSTSHARES, INC.",97790000.0,,金融,OTC,地区银行,1.9117852,12.83463924,7.88348324,0.89227705,43,11,30
FETM,"FENTURA FINANCIAL, INC.",95548992.0,,金融,OTC,地区银行,0.41156065,,14.97898493,1.06349231,52,48,58
BTN,BALLANTYNE STRONG INC,94252725.0,232.0,消费者服务,NYSE ARCA,电影/娱乐,0.21771046,12.81729078,-25.19396614,2.78911044,42,64,292
WKSP,WORKSPORT LTD.,93541032.0,4.0,商业服务,OTC,杂项商业服务,0.04284404,,-55.74826135,172.54464286,73,20,784
CXH,MFS INVESTMENT GRADE MUNICIPAL TRST,92195700.0,,其他,NYSE,投资信托/互惠基金,0.54774159,21.11853088,4.45780364,0.94064109,91,77,14
VLT,INVESCO HIGH INCOME TRUST II,91965500.0,,其他,NYSE,投资信托/互惠基金,0.32058204,11.67738743,8.10322197,0.94450626,82,74,33
FRD,FRIEDMAN INDUSTRIES INC,91640629.5,103.0,制造业,NYSE ARCA,金属加工,0.03032648,,-2.86870374,1.42202242,76,0,202
TPZ,TORTOISE PWR & ENERGY INFR FD INC,91618500.0,,其他,NYSE,投资信托/互惠基金,0.29297986,,-24.0428838,1.0129929,49,40,68
TRVR,"TWO RIVERS FINANCIAL GROUP, INC.",89858496.0,,金融,OTC,地区银行,0.61904899,4.42147639,21.58843586,0.87819601,47,28,66
HWCC,HOUSTON WIRE & CABLE CO,89140128.0,338.0,制造业,NASDAQ,金属加工,0.36838394,,-13.18676849,0.96932669,40,0,143
EEA,EUROPEAN EQUITY FUND,87996000.0,,其他,NYSE,投资信托/互惠基金,0.0,7.88637132,12.658202,0.96433212,93,71,49
DDF,DELAWARE INVST DIVIDEND & INCOME FD,87412600.0,,其他,NYSE,投资信托/互惠基金,0.35795641,,-5.72033568,1.18810143,42,73,59
DBCCF,DECIBEL CANNABIS CO INC.,87325000.0,,加工制造业,OTC,农副产品,0.90371405,,13.51648217,,-1,-1,-1
QRHC,QUEST RESOURCE HOLDING CORP,86943375.0,96.0,工业服务,NASDAQ,环境服务,0.22896535,36.07447634,3.6684381,1.25835861,76,70,275
LEAT,LEATT CORP.,86885920.0,53.0,耐用消费品,OTC,其他消费特产,0.0392384,15.44269046,43.27345202,5.56558735,100,30,680
SMID,SMITH-MIDLAND CORP,86667985.6,200.0,非能源矿业,NASDAQ,建筑材料,0.29020597,15.31926811,23.53985293,3.60976683,72,18,277
NEPH,NEPHROS INC,85475933.4,27.0,健康科技,NASDAQ,医学专业,0.10104911,,-36.43847487,6.70191042,49,83,60
FMO,FIDUCIARY CLAYMORE ENRGY INFR FD,84349000.0,,其他,NYSE,投资信托/互惠基金,0.27340271,,-123.51984842,1.53312385,28,4,142
DTRCD,DAKOTA TERRITORY RESOURCE CORP,84295950.0,,非能源矿业,OTC,其他金属/矿物,0.31373575,,-227.5849069,,100,81,482
NKOSF,LABRADOR GOLD CORP.,83831440.0,,非能源矿业,OTC,贵金属,0.0,,-18.61650798,9.83520851,-1,-1,-1
PRT,PERMROCK ROYALTY TRUST,83337100.0,,能源矿产,NYSE,成品油,0.0,47.24137931,2.00846339,0.94789222,48,0,313
TURN,180 DEGREE CAPITAL CORP,82725900.0,,金融,NASDAQ,投资经理,0.0,74.94830827,1.15297524,0.85888705,71,53,63
UG,UNITED GUARDIAN,81615625.8,25.0,非耐用消费品,NASDAQ,家庭/个人护理,0.0,22.24984462,32.19581898,7.94242408,23,57,33
HALL,HALLMARK FINANCIAL SERVICES INC,80679240.0,424.0,金融,NASDAQ,财产/财产保险,0.67118586,,-9.77734806,0.47021311,29,73,129
NBW,NEUBERGER BERMAN EQUITY FUND,80046000.0,,其他,NYSE ARCA,投资信托/互惠基金,0.70528349,,-3.41239125,,72,77,18
EDN,EMPRESA DISTR Y COMERC NORTE EDENOR ADR EACH REP 20 CLASS B ARS1,79838800.0,4776.0,公用事业,NYSE,发电厂,0.132639,,-27.15753634,0.09914079,13,0,67
