商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
1428,BRIGHT SMART,3717090000.0,263.0,金融,HKEX,投资银行/经纪商,14.13608506,6.13789238,25.36519283,1.95397889,-1,-1,-1
612,CHINA DYF,3704930000.0,35.0,其他,HKEX,投资信托/互惠基金,0.21842573,13.16287879,47.34492413,3.32802605,-1,-1,-1
1672,ASCLETIS-B,3680910000.0,,健康科技,HKEX,生物科技,0.00073214,,-6.54364114,,-1,-1,-1
78,REGAL INT'L,3658040000.0,,消费者服务,HKEX,酒店/度假村/游轮,1.32414029,,-7.74504067,0.28565192,-1,-1,-1
411,LAM SOON (HK),3622030000.0,,非耐用消费品,HKEX,食品：特色/糖果,0.00250765,9.85697719,14.17360066,,-1,-1,-1
2008,PHOENIX TV,3595440000.0,2840.0,消费者服务,HKEX,卫星电视,0.1844598,,-21.23202467,0.8158178,-1,-1,-1
1862,JINGRUI HLDGS,3585430000.0,3017.0,金融,HKEX,房地产开发,1.94534369,3.01774382,16.37015089,0.49039623,-1,-1,-1
1050,KARRIE INT'L,3583920000.0,3500.0,电子科技,HKEX,计算机处理硬件,0.75073067,12.42149337,24.1337893,3.01863754,-1,-1,-1
746,L & M CHEMICAL,3547500000.0,,加工制造业,HKEX,化学品：多元化,0.34628802,7.05843729,12.12015259,,-1,-1,-1
6819,INTELLICENTRICS,3519760000.0,186.0,科技服务,HKEX,套装软件,0.88219457,271.12676056,3.56398688,9.74621859,-1,-1,-1
245,CHINA VERED FIN,3506160000.0,,零售行业,HKEX,互联网零售,0.06364815,10.86021505,5.88526845,0.63176331,-1,-1,-1
108,GR PROPERTIES,3487310000.0,,金融,HKEX,房地产开发,1.29385381,5450.0,0.01870347,,-1,-1,-1
1846,EUROEYES,3456960000.0,265.0,健康服务,HKEX,医疗/护理服务,0.27485596,,-0.66423393,4.27447851,-1,-1,-1
8279,AGTECH HOLDINGS,3441330000.0,,科技服务,HKEX,IT服务,0.01883727,,-4.12972927,,-1,-1,-1
610,WAI KEE HOLD,3434230000.0,,工业服务,HKEX,工程建设,0.11687132,3.16960691,11.7979144,,-1,-1,-1
1230,YASHILI INT'L,3416800000.0,2919.0,非耐用消费品,HKEX,食品：特色/糖果,0.06734023,29.87551867,1.73819088,0.50354228,-1,-1,-1
2309,BIRMINGHAM SPTS,3394860000.0,810.0,商业服务,HKEX,杂项商业服务,1.47840813,,-23.55777654,9.53929539,-1,-1,-1
6908,HONGGUANG LIGHT,3360000000.0,,制造业,HKEX,电子设备,0.09191029,538.46153846,2.66435004,13.71768994,-1,-1,-1
1468,KINGKEY FIN INT,3346240000.0,80.0,非耐用消费品,HKEX,服装/鞋类,0.43849802,,-15.571788,7.83378747,-1,-1,-1
607,FULLSHARE,3327250000.0,8474.0,金融,HKEX,房地产开发,0.36709873,,-4.97730832,0.16338763,-1,-1,-1
6830,HUAZHONG IN-V,3290690000.0,2922.0,制造业,HKEX,汽车零件：OEM,0.60938714,26.91751085,9.71489917,2.42721614,-1,-1,-1
3378,XIAMEN PORT,3271440000.0,7082.0,运输,HKEX,其他运输,0.64997875,10.20408163,4.84576292,0.47313202,-1,-1,-1
1899,XINGDA INT'L,3250940000.0,7100.0,制造业,HKEX,金属加工,0.62379652,25.09225092,1.95307524,0.48464345,-1,-1,-1
807,SIICENVIRONMENT,3245158673.449357,6164.0,工业服务,HKEX,环境服务,1.28378439,4.05262099,7.57415578,0.29753095,-1,-1,-1
1108,LUOYANG GLASS,3236390000.0,2641.0,加工制造业,HKEX,特种工业品,1.29818959,5.98073999,30.89100618,1.67815778,-1,-1,-1
8328,XY ELEC STORAGE,3228770000.0,259.0,消费者服务,HKEX,其他消费者服务,0.0404313,162.21498371,4.75380828,7.29841428,-1,-1,-1
1566,CA CULTURAL,3210170000.0,357.0,耐用消费品,HKEX,娱乐产品,0.68114761,28.58391608,10.76805437,3.2258701,-1,-1,-1
194,LIU CHONG HING,3172530000.0,472.0,金融,HKEX,房地产开发,0.11685726,19.51560317,1.30195371,0.25223513,-1,-1,-1
710,BOE VARITRONIX,3162910000.0,,电子科技,HKEX,电子元器件,0.00702129,46.08788853,2.45132587,,-1,-1,-1
