商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
600423,柳化股份,2923224019.0,84.0,加工制造业,SSE,化学品：特种,0.0,120.39473684,6.19995246,7.43978047,50.62350792,2,-7
002761,浙江建投,8921055725.0,20546.0,工业服务,SZSE,工程建设,3.57641383,7.41973199,26.46344929,1.85111639,50.62481468,2,1
002413,雷科防务,8242553704.0,2011.0,电子科技,SZSE,航空航天 & 国防,0.15336243,41.1360799,4.11127929,1.80168358,50.64311218,7,-1
300026,红日药业,12947906952.0,5784.0,健康科技,SZSE,药品：其他,0.17176108,20.16846046,9.19401003,1.79979288,50.65187392,3,-3
605058,澳弘电子,3315835754.0,1058.0,电子科技,SSE,电子元器件,0.22751209,,13.20302603,2.54405224,50.65454935,7,-1
300682,朗新科技,16852210061.999998,4969.0,科技服务,SZSE,套装软件,0.14016235,23.49546579,14.30766861,3.1549408,50.65651368,7,1
002693,双成药业,1730399921.0,413.0,健康科技,SZSE,药品：其他,0.2924571,,-9.9843912,3.45082573,50.67472072,7,-2
300228,富瑞特装,3722879107.0,1623.0,制造业,SZSE,工业机械,0.55942874,40.4375,4.61744583,2.08451467,50.70040972,8,0
000966,长源电力,29627053561.0,3063.0,公用事业,SZSE,发电厂,0.7823799,29.62018863,10.26281426,3.09538968,50.70689103,10,-1
002443,金洲管道,3341838094.0,1971.0,非能源矿业,SZSE,钢铁,0.08292503,5.3976795,22.81780504,1.16570009,50.71222549,3,-5
300649,杭州园林,2342399902.0,317.0,商业服务,SZSE,杂项商业服务,0.0,45.88766048,11.37575527,5.24299687,50.71490541,2,-5
603217,元利科技,3657987334.0,678.0,商业服务,SSE,杂项商业服务,0.07533727,17.27250903,9.36139392,1.61936198,50.71942797,6,0
600901,江苏租赁,15497246872.0,356.0,金融,SSE,金融/租赁,4.67073125,7.92019347,15.1280997,1.19113649,50.72365103,10,1
300701,森霸传感,4041000137.0,808.0,电子科技,SZSE,半导体,0.0,24.77378173,25.59625504,5.96009287,50.7261955,2,-4
601366,利群股份,5386842528.0,7733.0,零售行业,SSE,专业商店,1.32211744,25.87846217,4.68296531,1.13184963,50.73225291,6,0
002638,*ST勤上,3675022230.0,3484.0,电子科技,SZSE,电子设备/仪器,0.0,78.20512821,1.2542945,1.0282863,50.73924331,3,0
603599,广信股份,13249831924.0,1761.0,加工制造业,SSE,化学品：特种,0.06049843,17.55533753,13.56831182,2.34835284,50.75800378,3,1
300561,汇金科技,3888128315.0,285.0,科技服务,SZSE,套装软件,0.01230896,223.35216573,2.58433262,5.83216542,50.76542008,7,-1
600398,海澜之家,30107613834.0,20593.0,非耐用消费品,SSE,服装/鞋类,0.39359672,13.09166041,16.79821759,2.28775869,50.76656135,10,2
002275,桂林三金,7783438720.0,2561.0,健康科技,SZSE,仿制药,0.17666225,26.12977984,10.01393392,2.63042781,50.77433556,14,1
300264,佳创视讯,2792556136.0,218.0,电子科技,SZSE,电信设备,0.31312239,,-13.66495312,11.42509465,50.77944795,2,-9
300759,康龙化成,143770262078.4847,11012.0,商业服务,SZSE,杂项商业服务,0.15110379,113.3534197,15.53217649,16.79474096,50.78208194,2,-3
601619,嘉泽新能,8950201497.0,99.0,公用事业,SSE,可替代发电,1.92208141,,6.94131003,2.14541255,50.78433063,8,-1
002689,远大智能,3161231667.0,1522.0,制造业,SZSE,建筑产品,0.04764361,213.38028169,1.1751407,2.3723585,50.79035099,13,-6
000731,四川美丰,3235419407.0,2370.0,加工制造业,SZSE,化学品：特种,0.15519963,21.80151455,5.16762296,1.12522962,50.7932758,4,-2
000862,银星能源,3918960688.0,594.0,公用事业,SZSE,发电厂,2.10850652,37.57616791,3.89356197,1.47556936,50.80456027,7,-2
200512,闽灿坤Ｂ,669461489.0786968,4613.0,耐用消费品,SZSE,电子/电器,0.53274654,4.37829111,19.23261864,0.7748132,50.81195477,4,-4
603158,腾龙股份,3426657256.0,3382.0,制造业,SSE,汽车零件：OEM,0.64697867,19.68383478,15.07811797,2.88718295,50.81533586,5,-2
